"","x"
"1","[PAD]"
"2","[UNK]"
"3","[CLS]"
"4","[SEP]"
"5","[MASK]"
"6","!"
"7",""""
"8","$"
"9","%"
"10","&"
"11","'"
"12","("
"13",")"
"14","*"
"15","+"
"16",","
"17","-"
"18","."
"19","/"
"20","0"
"21","1"
"22","2"
"23","3"
"24","4"
"25","5"
"26","6"
"27","7"
"28","8"
"29","9"
"30",":"
"31",";"
"32","<"
"33","="
"34",">"
"35","?"
"36","@"
"37","["
"38","\"
"39","]"
"40","^"
"41","_"
"42","`"
"43","{"
"44","|"
"45","}"
"46","~"
"47","¡"
"48","¢"
"49","£"
"50","¤"
"51","¥"
"52","¦"
"53","§"
"54","¨"
"55","©"
"56","ª"
"57","«"
"58","¬"
"59","®"
"60","°"
"61","±"
"62","²"
"63","³"
"64","´"
"65","µ"
"66","¶"
"67","·"
"68","¹"
"69","º"
"70","»"
"71","¼"
"72","½"
"73","¾"
"74","¿"
"75","×"
"76","ß"
"77","æ"
"78","ð"
"79","÷"
"80","ø"
"81","þ"
"82","đ"
"83","ħ"
"84","ı"
"85","ł"
"86","ŋ"
"87","œ"
"88","ƒ"
"89","ɐ"
"90","ɑ"
"91","ɒ"
"92","ɔ"
"93","ɕ"
"94","ə"
"95","ɛ"
"96","ɡ"
"97","ɣ"
"98","ɨ"
"99","ɪ"
"100","ɫ"
"101","ɬ"
"102","ɯ"
"103","ɲ"
"104","ɴ"
"105","ɹ"
"106","ɾ"
"107","ʀ"
"108","ʁ"
"109","ʂ"
"110","ʃ"
"111","ʉ"
"112","ʊ"
"113","ʋ"
"114","ʌ"
"115","ʎ"
"116","ʐ"
"117","ʑ"
"118","ʒ"
"119","ʔ"
"120","ʰ"
"121","ʲ"
"122","ʳ"
"123","ʷ"
"124","ʸ"
"125","ʻ"
"126","ʼ"
"127","ʾ"
"128","ʿ"
"129","ˈ"
"130","ː"
"131","ˡ"
"132","ˢ"
"133","ˣ"
"134","ˤ"
"135","α"
"136","β"
"137","γ"
"138","δ"
"139","ε"
"140","ζ"
"141","η"
"142","θ"
"143","ι"
"144","κ"
"145","λ"
"146","μ"
"147","ν"
"148","ξ"
"149","ο"
"150","π"
"151","ρ"
"152","ς"
"153","σ"
"154","τ"
"155","υ"
"156","φ"
"157","χ"
"158","ψ"
"159","ω"
"160","а"
"161","б"
"162","в"
"163","г"
"164","д"
"165","е"
"166","ж"
"167","з"
"168","и"
"169","к"
"170","л"
"171","м"
"172","н"
"173","о"
"174","п"
"175","р"
"176","с"
"177","т"
"178","у"
"179","ф"
"180","х"
"181","ц"
"182","ч"
"183","ш"
"184","щ"
"185","ъ"
"186","ы"
"187","ь"
"188","э"
"189","ю"
"190","я"
"191","ђ"
"192","є"
"193","і"
"194","ј"
"195","љ"
"196","њ"
"197","ћ"
"198","ӏ"
"199","ա"
"200","բ"
"201","գ"
"202","դ"
"203","ե"
"204","թ"
"205","ի"
"206","լ"
"207","կ"
"208","հ"
"209","մ"
"210","յ"
"211","ն"
"212","ո"
"213","պ"
"214","ս"
"215","վ"
"216","տ"
"217","ր"
"218","ւ"
"219","ք"
"220","־"
"221","א"
"222","ב"
"223","ג"
"224","ד"
"225","ה"
"226","ו"
"227","ז"
"228","ח"
"229","ט"
"230","י"
"231","ך"
"232","כ"
"233","ל"
"234","ם"
"235","מ"
"236","ן"
"237","נ"
"238","ס"
"239","ע"
"240","ף"
"241","פ"
"242","ץ"
"243","צ"
"244","ק"
"245","ר"
"246","ש"
"247","ת"
"248","،"
"249","ء"
"250","ا"
"251","ب"
"252","ة"
"253","ت"
"254","ث"
"255","ج"
"256","ح"
"257","خ"
"258","د"
"259","ذ"
"260","ر"
"261","ز"
"262","س"
"263","ش"
"264","ص"
"265","ض"
"266","ط"
"267","ظ"
"268","ع"
"269","غ"
"270","ـ"
"271","ف"
"272","ق"
"273","ك"
"274","ل"
"275","م"
"276","ن"
"277","ه"
"278","و"
"279","ى"
"280","ي"
"281","ٹ"
"282","پ"
"283","چ"
"284","ک"
"285","گ"
"286","ں"
"287","ھ"
"288","ہ"
"289","ی"
"290","ے"
"291","अ"
"292","आ"
"293","उ"
"294","ए"
"295","क"
"296","ख"
"297","ग"
"298","च"
"299","ज"
"300","ट"
"301","ड"
"302","ण"
"303","त"
"304","थ"
"305","द"
"306","ध"
"307","न"
"308","प"
"309","ब"
"310","भ"
"311","म"
"312","य"
"313","र"
"314","ल"
"315","व"
"316","श"
"317","ष"
"318","स"
"319","ह"
"320","ा"
"321","ि"
"322","ी"
"323","ो"
"324","।"
"325","॥"
"326","ং"
"327","অ"
"328","আ"
"329","ই"
"330","উ"
"331","এ"
"332","ও"
"333","ক"
"334","খ"
"335","গ"
"336","চ"
"337","ছ"
"338","জ"
"339","ট"
"340","ড"
"341","ণ"
"342","ত"
"343","থ"
"344","দ"
"345","ধ"
"346","ন"
"347","প"
"348","ব"
"349","ভ"
"350","ম"
"351","য"
"352","র"
"353","ল"
"354","শ"
"355","ষ"
"356","স"
"357","হ"
"358","া"
"359","ি"
"360","ী"
"361","ে"
"362","க"
"363","ச"
"364","ட"
"365","த"
"366","ந"
"367","ன"
"368","ப"
"369","ம"
"370","ய"
"371","ர"
"372","ல"
"373","ள"
"374","வ"
"375","ா"
"376","ி"
"377","ு"
"378","ே"
"379","ை"
"380","ನ"
"381","ರ"
"382","ಾ"
"383","ක"
"384","ය"
"385","ර"
"386","ල"
"387","ව"
"388","ා"
"389","ก"
"390","ง"
"391","ต"
"392","ท"
"393","น"
"394","พ"
"395","ม"
"396","ย"
"397","ร"
"398","ล"
"399","ว"
"400","ส"
"401","อ"
"402","า"
"403","เ"
"404","་"
"405","།"
"406","ག"
"407","ང"
"408","ད"
"409","ན"
"410","པ"
"411","བ"
"412","མ"
"413","འ"
"414","ར"
"415","ལ"
"416","ས"
"417","မ"
"418","ა"
"419","ბ"
"420","გ"
"421","დ"
"422","ე"
"423","ვ"
"424","თ"
"425","ი"
"426","კ"
"427","ლ"
"428","მ"
"429","ნ"
"430","ო"
"431","რ"
"432","ს"
"433","ტ"
"434","უ"
"435","ᄀ"
"436","ᄂ"
"437","ᄃ"
"438","ᄅ"
"439","ᄆ"
"440","ᄇ"
"441","ᄉ"
"442","ᄊ"
"443","ᄋ"
"444","ᄌ"
"445","ᄎ"
"446","ᄏ"
"447","ᄐ"
"448","ᄑ"
"449","ᄒ"
"450","ᅡ"
"451","ᅢ"
"452","ᅥ"
"453","ᅦ"
"454","ᅧ"
"455","ᅩ"
"456","ᅪ"
"457","ᅭ"
"458","ᅮ"
"459","ᅯ"
"460","ᅲ"
"461","ᅳ"
"462","ᅴ"
"463","ᅵ"
"464","ᆨ"
"465","ᆫ"
"466","ᆯ"
"467","ᆷ"
"468","ᆸ"
"469","ᆼ"
"470","ᴬ"
"471","ᴮ"
"472","ᴰ"
"473","ᴵ"
"474","ᴺ"
"475","ᵀ"
"476","ᵃ"
"477","ᵇ"
"478","ᵈ"
"479","ᵉ"
"480","ᵍ"
"481","ᵏ"
"482","ᵐ"
"483","ᵒ"
"484","ᵖ"
"485","ᵗ"
"486","ᵘ"
"487","ᵢ"
"488","ᵣ"
"489","ᵤ"
"490","ᵥ"
"491","ᶜ"
"492","ᶠ"
"493","‐"
"494","‑"
"495","‒"
"496","–"
"497","—"
"498","―"
"499","‖"
"500","‘"
"501","’"
"502","‚"
"503","“"
"504","”"
"505","„"
"506","†"
"507","‡"
"508","•"
"509","…"
"510","‰"
"511","′"
"512","″"
"513","›"
"514","‿"
"515","⁄"
"516","⁰"
"517","ⁱ"
"518","⁴"
"519","⁵"
"520","⁶"
"521","⁷"
"522","⁸"
"523","⁹"
"524","⁺"
"525","⁻"
"526","ⁿ"
"527","₀"
"528","₁"
"529","₂"
"530","₃"
"531","₄"
"532","₅"
"533","₆"
"534","₇"
"535","₈"
"536","₉"
"537","₊"
"538","₍"
"539","₎"
"540","ₐ"
"541","ₑ"
"542","ₒ"
"543","ₓ"
"544","ₕ"
"545","ₖ"
"546","ₗ"
"547","ₘ"
"548","ₙ"
"549","ₚ"
"550","ₛ"
"551","ₜ"
"552","₤"
"553","₩"
"554","€"
"555","₱"
"556","₹"
"557","ℓ"
"558","№"
"559","ℝ"
"560","™"
"561","⅓"
"562","⅔"
"563","←"
"564","↑"
"565","→"
"566","↓"
"567","↔"
"568","↦"
"569","⇄"
"570","⇌"
"571","⇒"
"572","∂"
"573","∅"
"574","∆"
"575","∇"
"576","∈"
"577","−"
"578","∗"
"579","∘"
"580","√"
"581","∞"
"582","∧"
"583","∨"
"584","∩"
"585","∪"
"586","≈"
"587","≡"
"588","≤"
"589","≥"
"590","⊂"
"591","⊆"
"592","⊕"
"593","⊗"
"594","⋅"
"595","─"
"596","│"
"597","■"
"598","▪"
"599","●"
"600","★"
"601","☆"
"602","☉"
"603","♠"
"604","♣"
"605","♥"
"606","♦"
"607","♭"
"608","♯"
"609","⟨"
"610","⟩"
"611","ⱼ"
"612","⺩"
"613","⺼"
"614","⽥"
"615","、"
"616","。"
"617","〈"
"618","〉"
"619","《"
"620","》"
"621","「"
"622","」"
"623","『"
"624","』"
"625","〜"
"626","あ"
"627","い"
"628","う"
"629","え"
"630","お"
"631","か"
"632","き"
"633","く"
"634","け"
"635","こ"
"636","さ"
"637","し"
"638","す"
"639","せ"
"640","そ"
"641","た"
"642","ち"
"643","っ"
"644","つ"
"645","て"
"646","と"
"647","な"
"648","に"
"649","ぬ"
"650","ね"
"651","の"
"652","は"
"653","ひ"
"654","ふ"
"655","へ"
"656","ほ"
"657","ま"
"658","み"
"659","む"
"660","め"
"661","も"
"662","や"
"663","ゆ"
"664","よ"
"665","ら"
"666","り"
"667","る"
"668","れ"
"669","ろ"
"670","を"
"671","ん"
"672","ァ"
"673","ア"
"674","ィ"
"675","イ"
"676","ウ"
"677","ェ"
"678","エ"
"679","オ"
"680","カ"
"681","キ"
"682","ク"
"683","ケ"
"684","コ"
"685","サ"
"686","シ"
"687","ス"
"688","セ"
"689","タ"
"690","チ"
"691","ッ"
"692","ツ"
"693","テ"
"694","ト"
"695","ナ"
"696","ニ"
"697","ノ"
"698","ハ"
"699","ヒ"
"700","フ"
"701","ヘ"
"702","ホ"
"703","マ"
"704","ミ"
"705","ム"
"706","メ"
"707","モ"
"708","ャ"
"709","ュ"
"710","ョ"
"711","ラ"
"712","リ"
"713","ル"
"714","レ"
"715","ロ"
"716","ワ"
"717","ン"
"718","・"
"719","ー"
"720","一"
"721","三"
"722","上"
"723","下"
"724","不"
"725","世"
"726","中"
"727","主"
"728","久"
"729","之"
"730","也"
"731","事"
"732","二"
"733","五"
"734","井"
"735","京"
"736","人"
"737","亻"
"738","仁"
"739","介"
"740","代"
"741","仮"
"742","伊"
"743","会"
"744","佐"
"745","侍"
"746","保"
"747","信"
"748","健"
"749","元"
"750","光"
"751","八"
"752","公"
"753","内"
"754","出"
"755","分"
"756","前"
"757","劉"
"758","力"
"759","加"
"760","勝"
"761","北"
"762","区"
"763","十"
"764","千"
"765","南"
"766","博"
"767","原"
"768","口"
"769","古"
"770","史"
"771","司"
"772","合"
"773","吉"
"774","同"
"775","名"
"776","和"
"777","囗"
"778","四"
"779","国"
"780","國"
"781","土"
"782","地"
"783","坂"
"784","城"
"785","堂"
"786","場"
"787","士"
"788","夏"
"789","外"
"790","大"
"791","天"
"792","太"
"793","夫"
"794","奈"
"795","女"
"796","子"
"797","学"
"798","宀"
"799","宇"
"800","安"
"801","宗"
"802","定"
"803","宣"
"804","宮"
"805","家"
"806","宿"
"807","寺"
"808","將"
"809","小"
"810","尚"
"811","山"
"812","岡"
"813","島"
"814","崎"
"815","川"
"816","州"
"817","巿"
"818","帝"
"819","平"
"820","年"
"821","幸"
"822","广"
"823","弘"
"824","張"
"825","彳"
"826","後"
"827","御"
"828","德"
"829","心"
"830","忄"
"831","志"
"832","忠"
"833","愛"
"834","成"
"835","我"
"836","戦"
"837","戸"
"838","手"
"839","扌"
"840","政"
"841","文"
"842","新"
"843","方"
"844","日"
"845","明"
"846","星"
"847","春"
"848","昭"
"849","智"
"850","曲"
"851","書"
"852","月"
"853","有"
"854","朝"
"855","木"
"856","本"
"857","李"
"858","村"
"859","東"
"860","松"
"861","林"
"862","森"
"863","楊"
"864","樹"
"865","橋"
"866","歌"
"867","止"
"868","正"
"869","武"
"870","比"
"871","氏"
"872","民"
"873","水"
"874","氵"
"875","氷"
"876","永"
"877","江"
"878","沢"
"879","河"
"880","治"
"881","法"
"882","海"
"883","清"
"884","漢"
"885","瀬"
"886","火"
"887","版"
"888","犬"
"889","王"
"890","生"
"891","田"
"892","男"
"893","疒"
"894","発"
"895","白"
"896","的"
"897","皇"
"898","目"
"899","相"
"900","省"
"901","真"
"902","石"
"903","示"
"904","社"
"905","神"
"906","福"
"907","禾"
"908","秀"
"909","秋"
"910","空"
"911","立"
"912","章"
"913","竹"
"914","糹"
"915","美"
"916","義"
"917","耳"
"918","良"
"919","艹"
"920","花"
"921","英"
"922","華"
"923","葉"
"924","藤"
"925","行"
"926","街"
"927","西"
"928","見"
"929","訁"
"930","語"
"931","谷"
"932","貝"
"933","貴"
"934","車"
"935","軍"
"936","辶"
"937","道"
"938","郎"
"939","郡"
"940","部"
"941","都"
"942","里"
"943","野"
"944","金"
"945","鈴"
"946","镇"
"947","長"
"948","門"
"949","間"
"950","阝"
"951","阿"
"952","陳"
"953","陽"
"954","雄"
"955","青"
"956","面"
"957","風"
"958","食"
"959","香"
"960","馬"
